;date;heights
0;2002-07-01;3810.938
1;2002-07-03;3810.216
2;2002-08-07;3810.8790000000004
3;2002-09-11;3810.75
4;2002-10-14;3810.643
5;2002-10-16;3810.545
6;2002-11-18;3810.577
7;2002-11-20;3810.776
8;2002-12-23;3810.672
9;2002-12-25;3810.518
10;2003-01-29;3810.857
11;2003-03-05;3811.11
12;2003-05-14;3811.6090000000004
13;2003-06-16;3811.44
14;2003-06-18;3811.192
15;2003-07-21;3811.257
16;2003-07-23;3811.258
17;2003-08-25;3811.202
18;2003-08-27;3811.1740000000004
19;2003-10-01;3810.8459999999995
20;2003-11-05;3810.865
21;2004-01-12;3810.925
22;2004-01-14;3810.8520000000003
23;2004-02-16;3811.4970000000003
24;2004-02-18;3811.4509999999996
25;2004-03-22;3811.566
26;2004-03-24;3811.31
27;2004-04-26;3811.447
28;2004-04-28;3811.4440000000004
29;2004-06-02;3811.3509999999997
30;2004-07-05;3811.243
31;2004-07-07;3811.1820000000002
32;2004-08-09;3811.1290000000004
33;2004-08-11;3810.9509999999996
34;2004-09-13;3811.0290000000005
35;2004-09-15;3811.0359999999996
36;2004-10-18;3810.866
37;2004-10-20;3810.847
38;2004-11-22;3810.775
39;2004-12-27;3810.665
40;2004-12-29;3810.579
41;2005-02-02;3810.57
42;2005-03-07;3811.0609999999997
43;2005-03-09;3810.9559999999997
44;2005-04-11;3810.96
45;2005-04-13;3811.1290000000004
46;2005-05-16;3810.902
47;2005-05-18;3810.7529999999997
48;2005-06-20;3811.113
49;2005-06-22;3810.665
50;2005-07-25;3810.3309999999997
51;2005-07-27;3810.542
52;2005-08-29;3810.48
53;2005-08-31;3810.364
54;2005-10-03;3810.2870000000003
55;2005-10-05;3810.321
56;2005-11-07;3810.395
57;2005-11-09;3810.147
58;2005-12-12;3810.2929999999997
59;2005-12-14;3810.2670000000003
60;2006-01-16;3810.3540000000003
61;2006-01-18;3810.07
62;2006-02-20;3810.8059999999996
63;2006-02-22;3810.7940000000003
64;2006-03-27;3810.866
65;2006-03-29;3810.737
66;2006-05-01;3811.07
67;2006-05-03;3810.8379999999997
68;2006-06-05;3810.925
69;2006-06-07;3810.805
70;2006-07-10;3810.665
71;2006-07-12;3810.7270000000003
72;2006-08-14;3810.587
73;2006-08-16;3810.518
74;2006-09-18;3810.438
75;2006-09-20;3810.2259999999997
76;2006-10-23;3810.297
77;2006-10-25;3810.152
78;2006-11-27;3810.198
79;2007-01-01;3810.2870000000003
80;2007-01-03;3810.1009999999997
81;2007-02-05;3810.348
82;2007-02-07;3810.236
83;2007-03-14;3810.475
84;2007-04-16;3810.785
85;2007-04-18;3810.804
86;2007-05-23;3810.5290000000005
87;2007-06-25;3810.673
88;2007-06-27;3810.528
89;2007-07-30;3810.385
90;2007-08-01;3810.4590000000003
91;2007-09-03;3810.349
92;2007-09-05;3810.5370000000003
93;2007-10-08;3810.263
94;2007-10-10;3810.013
95;2007-11-12;3810.1209999999996
96;2007-11-14;3810.039
97;2007-12-17;3810.071
98;2007-12-19;3810.005
99;2008-01-21;3810.22
100;2008-01-23;3810.08
101;2008-02-25;3810.468
102;2008-02-27;3810.397
103;2008-03-31;3810.607
104;2008-04-02;3810.5229999999997
105;2008-05-05;3810.507
106;2008-05-07;3810.4509999999996
107;2008-06-09;3810.327
108;2008-06-11;3810.171
109;2008-07-14;3810.175
110;2008-07-16;3810.167
111;2008-08-18;3810.0890000000004
112;2008-08-20;3809.801
113;2008-09-22;3809.87
114;2008-09-24;3809.8520000000003
115;2008-10-27;3809.777
116;2008-10-29;3809.862
117;2008-12-03;3809.705
118;2009-01-05;3809.718
119;2009-01-07;3809.9829999999997
120;2009-02-09;3809.743
121;2009-02-11;3809.655
122;2009-04-20;3809.9159999999997
123;2009-04-22;3809.7690000000002
124;2009-05-25;3809.82
125;2009-05-27;3809.991
126;2009-06-29;3809.7309999999998
127;2009-07-01;3809.678
128;2009-08-03;3809.5879999999997
129;2009-08-05;3809.413
130;2009-09-07;3809.4570000000003
131;2009-09-09;3809.298
132;2009-10-12;3809.323
133;2009-10-14;3809.192
134;2009-11-16;3809.123
135;2009-11-18;3809.152
136;2009-12-21;3809.1740000000004
137;2009-12-23;3809.265
138;2010-01-25;3809.405
139;2010-01-27;3809.2140000000004
140;2010-03-01;3809.8709999999996
141;2010-03-03;3809.103
142;2010-04-05;3810.0009999999997
143;2010-04-07;3809.7790000000005
144;2010-05-10;3809.925
145;2010-05-12;3809.864
146;2010-06-14;3809.895
147;2010-06-16;3809.657
148;2010-07-19;3809.677
149;2010-07-21;3809.599
150;2010-07-24;3809.9829999999997
151;2010-08-23;3809.61
152;2010-08-25;3809.441
153;2010-09-20;3809.3590000000004
154;2010-09-27;3809.362
155;2010-09-29;3809.33
156;2010-11-14;3809.054
157;2010-12-13;3809.026
158;2011-02-07;3809.0820000000003
159;2011-03-08;3809.62
160;2011-06-01;3809.6079999999997
161;2011-06-30;3809.724
162;2011-07-27;3809.375
163;2011-08-25;3809.2729999999997
164;2011-09-23;3809.551
165;2011-10-20;3808.719
166;2011-11-18;3809.0759999999996
167;2011-12-17;3809.208
168;2012-01-13;3809.177
169;2012-02-11;3809.485
170;2012-03-10;3810.192
171;2012-05-05;3810.408
172;2012-06-03;3810.3709999999996
173;2012-07-02;3810.272
174;2012-07-29;3810.0759999999996
175;2012-08-27;3809.947
176;2012-09-25;3809.888
177;2012-10-22;3809.8140000000003
178;2012-11-20;3809.6809999999996
179;2012-12-19;3809.8740000000003
180;2013-01-15;3809.737
181;2013-02-13;3810.158
182;2013-03-14;3810.61
183;2013-03-27;3810.901
184;2013-03-29;3810.863
185;2013-05-01;3810.792
186;2013-05-03;3810.8059999999996
187;2013-05-09;3810.4770000000003
188;2013-06-05;3810.653
189;2013-06-07;3810.6479999999997
190;2013-07-05;3810.603
191;2013-07-10;3810.5879999999997
192;2013-07-12;3810.562
193;2013-08-01;3810.177
194;2013-08-14;3810.454
195;2013-08-16;3810.53
196;2013-08-30;3810.072
197;2013-09-18;3810.278
198;2013-09-20;3810.2309999999998
199;2013-09-28;3810.232
200;2013-10-23;3810.172
201;2013-10-25;3810.125
202;2013-11-23;3809.804
203;2013-11-27;3810.133
204;2013-11-29;3810.192
205;2013-12-22;3809.91
206;2014-01-01;3810.217
207;2014-01-03;3810.264
208;2014-02-05;3810.4640000000004
209;2014-02-07;3810.535
210;2014-02-16;3810.426
211;2014-03-12;3810.6540000000005
212;2014-03-14;3810.6479999999997
213;2014-03-17;3810.4809999999998
214;2014-04-16;3810.637
215;2014-04-18;3810.614
216;2014-05-12;3810.28
217;2014-05-21;3810.527
218;2014-05-23;3810.485
219;2014-06-10;3810.202
220;2014-06-25;3810.373
221;2014-06-27;3810.388
222;2014-07-09;3810.21
223;2014-07-30;3810.24
224;2014-08-05;3809.812
225;2014-09-03;3810.027
226;2014-09-05;3810.074
227;2014-10-02;3810.1940000000004
228;2014-10-10;3809.968
229;2014-11-12;3809.9829999999997
230;2014-11-14;3809.965
231;2014-11-26;3809.678
232;2014-12-17;3809.933
233;2014-12-19;3809.937
234;2014-12-25;3809.715
235;2015-01-21;3810.0370000000003
236;2015-01-23;3810.07
237;2015-02-19;3809.973
238;2015-02-25;3810.2790000000005
239;2015-02-27;3810.2270000000003
240;2015-03-20;3810.098
241;2015-04-01;3810.415
242;2015-04-03;3810.413
243;2015-05-06;3810.514
244;2015-05-08;3810.572
245;2015-05-15;3810.29
246;2015-06-10;3810.43
247;2015-06-12;3810.184
248;2015-06-13;3810.22
249;2015-07-12;3810.2670000000003
250;2015-07-15;3810.2540000000004
251;2015-07-17;3810.1020000000003
252;2015-08-08;3809.978
253;2015-08-19;3810.1659999999997
254;2015-08-21;3810.1490000000003
255;2015-09-06;3809.736
256;2015-09-23;3810.103
257;2015-09-25;3810.008
258;2015-10-05;3809.9
259;2015-10-28;3809.9770000000003
260;2015-10-30;3810.0290000000005
261;2015-11-30;3809.6740000000004
262;2015-12-02;3809.8740000000003
263;2015-12-04;3809.863
264;2015-12-29;3809.685
265;2016-01-06;3809.847
266;2016-01-08;3809.847
267;2016-01-25;3809.5
268;2016-02-10;3809.942
269;2016-02-12;3810.0190000000002
270;2016-02-23;3809.708
271;2016-03-16;3810.156
272;2016-03-18;3810.199
273;2016-03-22;3810.009
274;2016-04-20;3810.1940000000004
275;2016-04-22;3810.187
276;2016-05-17;3809.8109999999997
277;2016-05-25;3809.998
278;2016-05-27;3809.95
279;2016-06-15;3809.7070000000003
280;2016-06-28;3809.3959999999997
281;2016-06-29;3809.937
282;2016-07-01;3809.585
283;2016-07-14;3809.739
284;2016-07-25;3809.301
285;2016-08-10;3809.409
286;2016-08-21;3809.205
287;2016-09-08;3809.262
288;2016-09-17;3809.094
289;2016-10-07;3809.55
290;2016-10-14;3808.949
291;2016-11-03;3809.223
292;2016-11-10;3808.928
293;2016-12-02;3809.054
294;2016-12-07;3808.809
295;2016-12-31;3809.067
296;2017-01-03;3808.824
297;2017-01-27;3808.966
298;2017-01-30;3808.946
299;2017-02-25;3809.115
300;2017-02-26;3808.948
301;2017-03-25;3809.13
302;2017-03-26;3809.403
303;2017-04-21;3809.235
304;2017-05-18;3809.2290000000003
305;2017-05-21;3809.43
306;2017-06-14;3809.1620000000003
307;2017-06-19;3809.3959999999997
308;2017-07-11;3809.087
309;2017-07-17;3809.3259999999996
310;2017-08-07;3808.99
311;2017-09-03;3808.87
312;2017-09-30;3808.8920000000003
313;2017-10-27;3808.828
314;2017-11-06;3808.9790000000003
315;2017-11-23;3808.737
316;2017-12-05;3809.012
317;2017-12-20;3808.6479999999997
318;2018-01-03;3809.0359999999996
319;2018-01-16;3808.743
320;2018-02-12;3808.9190000000003
321;2018-03-11;3809.277
322;2018-04-07;3809.45
323;2018-05-04;3809.4120000000003
324;2018-05-31;3809.3179999999998
325;2018-06-27;3809.237
326;2018-07-24;3809.197
327;2018-08-20;3809.0679999999998
328;2018-09-16;3808.974
329;2018-10-13;3808.91
330;2018-12-06;3808.815
331;2019-01-02;3808.828
332;2019-01-06;3809.2509999999997
333;2019-01-29;3808.8740000000003
